SECCION,TIPO DE SECCION,TIPO DE COLONIA,NOMBRE DE LA COLONIA,CP,DISTRITO_FEDERAL,DISTRITO_LOCAL,MUNICIPIO,NOMBRE_MUNICIPIO
7054,URBANO(A),COLONIA,MILITAR SANTA LUCIA,55640,5,33,82,TECAMAC
7054,URBANO(A),UNIDAD HABITACIONAL,REAL GRANADA,55743,5,33,82,TECAMAC
7054,URBANO(A),PUEBLO,SAN JERONIMO XONACAHUACAN,55745,5,33,82,TECAMAC
7054,URBANO(A),CONJUNTO HABITACIONAL,URBANO RANCHO LA LUZ,55743,5,33,82,TECAMAC
7055,RURAL,COLONIA,AMPLIACION SAN JERONIMO XONACAHUACAN,55745,5,33,82,TECAMAC
7055,RURAL,COLONIA,EL POTRERO,55745,5,33,82,TECAMAC
7055,RURAL,COLONIA,INDEPENDENCIA,55745,5,33,82,TECAMAC
7055,RURAL,UNIDAD HABITACIONAL,REAL GRANADA,55743,5,33,82,TECAMAC
7055,RURAL,PUEBLO,SAN JERONIMO XONACAHUACAN,55745,5,33,82,TECAMAC
7056,URBANO(A),UNIDAD HABITACIONAL,REAL GRANADA,55743,5,33,82,TECAMAC
7056,URBANO(A),PUEBLO,SAN JERONIMO XONACAHUACAN,55745,5,33,82,TECAMAC
7057,URBANO(A),UNIDAD HABITACIONAL,REAL GRANADA,55743,5,33,82,TECAMAC
7057,URBANO(A),PUEBLO,SAN JERONIMO XONACAHUACAN,55745,5,33,82,TECAMAC
7058,URBANO(A),CONJUNTO HABITACIONAL,REAL GRANADA,55745,5,33,82,TECAMAC
7058,URBANO(A),UNIDAD HABITACIONAL,REAL GRANADA,55743,5,33,82,TECAMAC
7058,URBANO(A),PUEBLO,SAN JERONIMO XONACAHUACAN,55745,5,33,82,TECAMAC
7059,URBANO(A),UNIDAD HABITACIONAL,REAL GRANADA,55743,5,33,82,TECAMAC
7059,URBANO(A),PUEBLO,SAN JERONIMO XONACAHUACAN,55745,5,33,82,TECAMAC
7060,URBANO(A),PUEBLO,SAN JERONIMO XONACAHUACAN,55745,5,33,82,TECAMAC
7060,URBANO(A),CONJUNTO HABITACIONAL,URBANO RANCHO LA LUZ,55743,5,33,82,TECAMAC
7061,URBANO(A),COLONIA,HACIENDA DEL BOSQUE,55743,5,33,82,TECAMAC
7061,URBANO(A),PUEBLO,SAN JERONIMO XONACAHUACAN,55745,5,33,82,TECAMAC
7062,URBANO(A),COLONIA,HACIENDA DEL BOSQUE,55743,5,33,82,TECAMAC
7063,URBANO(A),COLONIA,HACIENDA DEL BOSQUE,55743,5,33,82,TECAMAC
4235,URBANO(A),FRACCIONAMIENTO,OJO DE AGUA,55770,20,22,82,TECAMAC
4236,URBANO(A),FRACCIONAMIENTO,OJO DE AGUA,55770,20,22,82,TECAMAC
4237,URBANO(A),FRACCIONAMIENTO,OJO DE AGUA,55770,20,22,82,TECAMAC
4238,URBANO(A),FRACCIONAMIENTO,OJO DE AGUA,55770,20,22,82,TECAMAC
4239,URBANO(A),FRACCIONAMIENTO,HACIENDA OJO DE AGUA,55770,20,22,82,TECAMAC
4239,URBANO(A),FRACCIONAMIENTO,OJO DE AGUA,55770,20,22,82,TECAMAC
4240,URBANO(A),FRACCIONAMIENTO,HACIENDA OJO DE AGUA,55770,20,22,82,TECAMAC
4240,URBANO(A),COLONIA,LOS ARCOS,55767,20,22,82,TECAMAC
4240,URBANO(A),FRACCIONAMIENTO,REAL CARRARA,55767,20,22,82,TECAMAC
4240,URBANO(A),CONJUNTO HABITACIONAL,REAL CASTELL,55767,20,22,82,TECAMAC
4242,URBANO(A),FRACCIONAMIENTO,OJO DE AGUA,55770,20,22,82,TECAMAC
4243,URBANO(A),FRACCIONAMIENTO,OJO DE AGUA,55770,20,22,82,TECAMAC
